Plan computed:
   Time: (ACTION) [action Duration; action Cost]
 0.0000: (LOAD F3 A2 P35) [D:3.0000; C:0.1000]
 0.0000: (LOAD T1 E2 P27) [D:2.0000; C:0.1000]
 0.0000: (MOVER_AVION AV1 A1 A2 CIUDAD1 CIUDAD2) [D:0.6667; C:0.1000]
 0.0000: (LOAD AV2 A2 P36) [D:4.0000; C:0.1000]
 0.0000: (LOAD AV2 A2 P16) [D:4.0000; C:0.1000]
 0.0000: (LOAD T2 E4 P7) [D:2.0000; C:0.1000]
 0.0000: (SUBIR_CONDUCTOR F4 D3 CA3) [D:2.0000; C:0.1000]
 0.0000: (LOAD F4 CA3 P38) [D:3.0000; C:0.1000]
 0.0000: (LOAD F4 CA3 P8) [D:3.0000; C:0.1000]
 0.0000: (LOAD F4 CA3 P18) [D:3.0000; C:0.1000]
 0.0000: (LOAD T1 E2 P4) [D:2.0000; C:0.1000]
 0.0000: (LOAD T1 E2 P13) [D:4.0000; C:0.1000]
 0.0000: (LOAD T1 E2 P33) [D:4.0000; C:0.1000]
 0.0000: (MOVER_CONDUCTOR D2 CA2 A2 CIUDAD2) [D:8.0000; C:0.1000]
 0.0000: (LOAD F3 A2 P23) [D:4.0000; C:0.1000]
 0.0000: (LOAD F3 A2 P15) [D:3.0000; C:0.1000]
 0.0000: (MOVER_CONDUCTOR D1 E2 A1 CIUDAD1) [D:6.0000; C:0.1000]
 0.0000: (LOAD F2 A1 P24) [D:2.0000; C:0.1000]
 0.6667: (LOAD AV1 A2 P6) [D:4.0000; C:0.1000]
 0.6667: (LOAD AV1 A2 P10) [D:4.0000; C:0.1000]
 3.0000: (MOVER_FURGONETA F4 D3 CA3 E4 CIUDAD3) [D:1.4000; C:0.1000]
 4.0000: (MOVER_AVION AV2 A2 A1 CIUDAD2 CIUDAD1) [D:0.6667; C:0.1000]
 4.0000: (MOVER_TREN T1 E2 E4) [D:2.0000; C:0.1000]
 4.4000: (UNLOAD F4 E4 P18) [D:3.0000; C:0.1000]
 4.6667: (MOVER_AVION AV1 A2 A1 CIUDAD2 CIUDAD1) [D:0.6667; C:0.1000]
 4.6667: (UNLOAD AV2 A1 P16) [D:4.0000; C:0.1000]
 4.6667: (UNLOAD AV2 A1 P36) [D:4.0000; C:0.1000]
 4.6667: (LOAD AV2 A1 P25) [D:3.0000; C:0.1000]
 4.6667: (LOAD AV2 A1 P5) [D:3.0000; C:0.1000]
 5.3334: (UNLOAD AV1 A1 P6) [D:4.0000; C:0.1000]
 6.0000: (UNLOAD T1 E4 P4) [D:2.0000; C:0.1000]
 6.0000: (SUBIR_CONDUCTOR F2 D1 A1) [D:2.0000; C:0.1000]
 6.0000: (UNLOAD T1 E4 P33) [D:4.0000; C:0.1000]
 7.4000: (MOVER_FURGONETA F4 D3 E4 CA3 CIUDAD3) [D:1.4000; C:0.1000]
 7.4000: (LOAD T2 E4 P18) [D:3.0000; C:0.1000]
 8.0000: (SUBIR_CONDUCTOR F3 D2 A2) [D:2.0000; C:0.1000]
 8.6667: (LOAD F2 A1 P36) [D:4.0000; C:0.1000]
 8.6667: (MOVER_AVION AV2 A1 A2 CIUDAD1 CIUDAD2) [D:0.6667; C:0.1000]
 8.8000: (MOVER_FURGONETA F4 D3 CA3 E4 CIUDAD3) [D:1.4000; C:0.1000]
 9.3334: (LOAD F2 A1 P6) [D:4.0000; C:0.1000]
 9.3334: (UNLOAD AV2 A2 P5) [D:3.0000; C:0.1000]
 9.3334: (MOVER_AVION AV1 A1 A2 CIUDAD1 CIUDAD2) [D:0.6667; C:0.1000]
 10.2000: (UNLOAD F4 E4 P8) [D:3.0000; C:0.1000]
 10.2000: (UNLOAD F4 E4 P38) [D:3.0000; C:0.1000]
 10.2000: (LOAD F4 E4 P4) [D:2.0000; C:0.1000]
 10.2000: (LOAD F4 E4 P33) [D:4.0000; C:0.1000]
 12.3334: (MOVER_AVION AV2 A2 A1 CIUDAD2 CIUDAD1) [D:0.6667; C:0.1000]
 12.3334: (LOAD F3 A2 P5) [D:3.0000; C:0.1000]
 13.0001: (MOVER_AVION AV2 A1 A2 CIUDAD1 CIUDAD2) [D:0.6667; C:0.1000]
 13.2000: (LOAD T2 E4 P8) [D:3.0000; C:0.1000]
 13.2000: (LOAD T1 E4 P38) [D:3.0000; C:0.1000]
 13.3334: (MOVER_FURGONETA F2 D1 A1 E2 CIUDAD1) [D:1.2000; C:0.1000]
 13.6668: (UNLOAD AV2 A2 P25) [D:3.0000; C:0.1000]
